Time, Temp(C), Humidity(%)  
14:58:39.237, 26.00, 39.00
14:58:42.444, 26.00, 39.00
14:58:45.688, 26.00, 39.00
14:58:48.878, 26.00, 39.00
14:58:52.111, 26.00, 39.00
14:58:55.344, 26.00, 39.00
14:58:58.577, 26.00, 39.00
14:59:01.795, 26.00, 39.00
14:59:05.063, 26.00, 39.00
14:59:08.262, 25.00, 38.00
14:59:11.512, 25.00, 38.00
14:59:14.712, 25.00, 38.00
14:59:17.962, 25.00, 38.00
14:59:21.179, 25.00, 38.00
14:59:24.422, 25.00, 38.00
14:59:27.680, 25.00, 38.00
14:59:30.897, 25.00, 38.00
14:59:34.131, 25.00, 38.00
14:59:37.347, 25.00, 38.00
14:59:40.598, 25.00, 38.00
14:59:43.831, 25.00, 38.00
14:59:47.015, 25.00, 38.00
14:59:50.265, 25.00, 38.00
14:59:53.482, 25.00, 38.00
14:59:56.732, 25.00, 38.00
14:59:59.949, 25.00, 38.00
15:00:03.206, 25.00, 38.00
15:00:06.399, 25.00, 38.00
15:00:09.649, 25.00, 38.00
15:00:12.884, 25.00, 38.00
15:00:16.084, 25.00, 38.00
15:00:19.317, 25.00, 38.00
15:00:22.584, 25.00, 38.00
15:00:25.785, 25.00, 38.00
15:00:29.018, 25.00, 38.00
15:00:32.235, 25.00, 38.00
15:00:35.502, 25.00, 38.00
15:00:38.737, 25.00, 38.00
15:00:41.952, 25.00, 38.00
15:00:45.168, 25.00, 38.00
15:00:48.402, 25.00, 38.00
15:00:51.635, 25.00, 38.00
15:00:54.886, 25.00, 38.00
15:00:58.087, 25.00, 38.00
15:01:01.338, 25.00, 38.00
15:01:04.554, 25.00, 38.00
15:01:07.789, 25.00, 38.00
15:01:10.995, 25.00, 38.00
15:01:14.238, 25.00, 38.00
15:01:17.455, 25.00, 38.00
15:01:20.724, 25.00, 38.00
15:01:23.939, 25.00, 38.00
15:01:27.188, 25.00, 38.00
15:01:30.389, 25.00, 38.00
15:01:33.606, 25.00, 38.00
15:01:36.840, 25.00, 38.00
15:01:40.090, 25.00, 38.00
15:01:43.337, 25.00, 38.00
15:01:46.540, 25.00, 38.00
15:01:49.757, 25.00, 38.00
15:01:52.991, 25.00, 38.00
15:01:56.240, 25.00, 38.00
15:01:59.474, 25.00, 38.00
15:02:02.706, 25.00, 38.00
15:02:05.924, 25.00, 38.00
15:02:09.158, 25.00, 38.00
15:02:12.375, 25.00, 38.00
15:02:15.624, 25.00, 38.00
15:02:18.826, 25.00, 38.00
15:02:22.061, 25.00, 38.00
15:02:25.297, 25.00, 38.00
15:02:28.538, 25.00, 38.00
15:02:31.757, 25.00, 38.00
15:02:35.002, 25.00, 38.00
15:02:38.208, 25.00, 38.00
15:02:41.433, 25.00, 38.00
15:02:44.676, 25.00, 38.00
15:02:47.905, 25.00, 38.00
15:02:51.123, 25.00, 38.00
15:02:54.397, 25.00, 38.00
15:02:57.589, 25.00, 38.00
15:03:00.836, 25.00, 38.00
15:03:04.059, 25.00, 38.00
15:03:07.292, 25.00, 38.00
15:03:56.617, 25.00, 38.00
15:03:59.868, 25.00, 38.00
15:04:03.113, 25.00, 38.00
15:04:06.336, 25.00, 38.00
15:04:09.558, 25.00, 38.00
15:04:12.759, 25.00, 38.00
15:04:16.037, 25.00, 38.00
15:04:19.220, 25.00, 38.00
15:04:22.478, 25.00, 38.00
15:04:25.684, 25.00, 38.00
15:04:28.941, 24.00, 38.00
15:04:32.153, 25.00, 38.00
15:04:35.412, 24.00, 38.00
15:04:38.638, 25.00, 38.00
15:04:41.862, 25.00, 38.00
15:04:45.060, 25.00, 38.00
15:04:48.318, 24.00, 38.00
15:04:51.537, 24.00, 38.00
15:04:54.778, 24.00, 38.00
15:04:57.989, 24.00, 38.00
15:05:01.257, 24.00, 38.00
15:05:04.460, 24.00, 38.00
15:05:07.697, 24.00, 38.00
15:05:10.907, 24.00, 38.00
15:05:14.155, 24.00, 38.00
15:05:17.387, 24.00, 38.00
15:05:20.618, 24.00, 38.00
15:05:23.850, 24.00, 38.00
15:05:27.073, 24.00, 38.00
15:05:30.316, 24.00, 38.00
15:05:33.553, 24.00, 38.00
15:05:36.772, 24.00, 38.00
15:05:40.009, 24.00, 38.00
15:05:43.231, 24.00, 38.00
15:05:46.445, 24.00, 38.00
15:05:49.661, 24.00, 38.00
15:05:52.917, 24.00, 38.00
15:05:56.136, 24.00, 38.00
15:05:59.380, 24.00, 38.00
15:06:02.583, 24.00, 38.00
15:06:05.819, 24.00, 38.00
15:06:09.042, 24.00, 38.00
15:06:12.303, 24.00, 38.00
15:06:15.501, 24.00, 38.00
15:06:18.735, 24.00, 38.00
15:06:21.961, 24.00, 38.00
15:06:25.218, 24.00, 38.00
15:06:28.469, 24.00, 38.00
15:06:31.676, 24.00, 38.00
15:06:34.882, 24.00, 38.00
15:06:38.136, 24.00, 38.00
15:06:41.354, 24.00, 38.00
15:06:44.586, 24.00, 38.00
15:06:47.828, 24.00, 38.00
15:06:51.051, 24.00, 38.00
15:06:54.264, 24.00, 38.00
15:06:57.488, 24.00, 38.00
15:07:00.750, 24.00, 38.00
15:07:03.967, 24.00, 38.00
15:07:07.211, 24.00, 38.00
15:07:10.430, 24.00, 38.00
15:07:13.659, 24.00, 38.00
15:07:16.896, 24.00, 38.00
15:07:20.148, 24.00, 38.00
15:07:23.371, 24.00, 38.00
15:07:26.605, 24.00, 38.00
15:07:29.822, 24.00, 38.00
15:07:33.032, 24.00, 38.00
15:07:36.293, 24.00, 38.00
15:07:39.519, 24.00, 38.00
15:07:42.744, 24.00, 38.00
15:07:45.970, 24.00, 38.00
15:07:49.198, 24.00, 38.00
15:07:52.409, 24.00, 38.00
15:07:55.661, 24.00, 38.00
15:07:58.864, 24.00, 38.00
15:08:02.087, 24.00, 38.00
15:08:05.338, 24.00, 38.00
15:08:08.579, 24.00, 38.00
15:08:11.806, 24.00, 38.00
15:08:15.030, 24.00, 38.00
15:08:18.259, 24.00, 38.00
15:08:21.470, 24.00, 38.00
15:08:24.714, 24.00, 38.00
15:08:27.953, 24.00, 38.00
15:08:31.172, 24.00, 38.00
15:08:34.424, 24.00, 38.00
15:08:37.635, 24.00, 38.00
15:08:40.884, 24.00, 38.00
15:08:44.090, 24.00, 38.00
15:08:47.333, 24.00, 38.00
15:08:50.557, 24.00, 38.00
15:08:53.789, 24.00, 38.00
15:08:57.025, 24.00, 38.00
15:09:00.263, 24.00, 38.00
15:09:03.470, 24.00, 38.00
15:09:06.694, 24.00, 38.00
15:09:09.920, 24.00, 38.00
15:09:13.159, 24.00, 38.00
15:09:16.422, 24.00, 38.00
15:09:19.646, 24.00, 40.00
15:09:22.858, 24.00, 39.00
15:09:26.103, 24.00, 39.00
15:09:29.299, 24.00, 39.00
